,Chemical,Vacated 1989 OSHA PELs
427,Vinyl cyclohexene dioxide,TWA 10 ppm (60 mg/m3) [skin]
428,Vinylidene chloride,TWA 1 ppm (4 mg/m3)
429,VM & P Naphtha,"TWA 1350 mg/m3 (300 ppm), ST 1800 mg/m3 (400 ppm)"
430,Welding fumes,TWA 5 mg/m3
431,Wood dust (all wood dusts,"TWA 5 mg/m3, ST 10 mg/m3"
432,except Western red cedar),
433,Wood dust (Western red,TWA 2.5 mg/m3
434,cedar),
435,"Xylene (o-, m-, p-isomers)","TWA 100 ppm (435 mg/m3), ST 150 ppm (655mg/m3)"
436,"m-Xylene α,α '-diamine",C 0.1 mg/m3 [skin]
437,Xylidine,TWA 2 ppm (10 mg/m3) [skin]
438,Zinc chloride fume,"TWA 1 mg/m3, ST 2 mg/m3"
440,Zinc oxide,"TWA 10 mg/m3 (total dust), TWA 5 mg/m3 (respdust)"
441,Zinc stearate,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
442,Zirconium compounds (as Zr),"TWA 5 mg/m , ST 10 mg/m3 3"
