,Chemical,Vacated 1989 OSHA PELs
107,Cyclohexylamine,TWA 10 ppm (40 mg/m )
108,Cyclonite,TWA 1.5 mg/m3 [skin]
109,Cyclopentane,TWA 600 ppm (1720 mg/m3)
110,Cyhexatin,TWA 5 mg/m3
111,Decaborane,"TWA 0.3 mg/m3 (0.05 ppm), ST 0.9 mg/m3 (0.15 ppm) [skin]"
112,Diazinon®,TWA 0.1 mg/m3 [skin]
113,2-N-Dibutylaminoethanol,TWA 2 ppm (14 mg/m3)
114,Dibutyl phosphate,"TWA 1 ppm (5 mg/m3), ST 2 ppm (10 mg/m3)"
115,Dichloroacetylene,C 0.1 ppm (0.4 mg/m3)
116,p-Dichlorobenzene,"TWA 75 ppm (450 mg/m3), ST 110 ppm (675 mg/m3)"
117,"1,3-Dichloro-","TWA 0.2 mg/m3, ST 0.4 mg/m3"
118,"5,5-dimethylhydantoin",
119,Dichloroethyl ether,"TWA 5 ppm (30 mg/m3), ST 10 ppm (60 mg/m3) [skin]"
120,Dichloromonofluoromethane,TWA 10 ppm (40 mg/m3)
121,"1,1-Dichloro-1-nitroethane",TWA 2 ppm (10 mg/m3)
122,"1,3-Dichloropropene",TWA 1 ppm (5 mg/m3) [skin]
123,"2,2-Dichloropropionic acid",TWA 1 ppm (6 mg/m3)
124,Dicrotophos,TWA 0.25 mg/m3 [skin]
126,Dicyclopentadiene,TWA 5 ppm (30 mg/m3)
127,Dicyclopentadienyl iron,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
129,Diethanolamine,TWA 3 ppm (15 mg/m )
130,Diethylamine,"TWA 10 ppm (30 mg/m3), ST 25 ppm (75 mg/m3)"
131,Diethylenetriamine,TWA 1 ppm (4 mg/m3)
132,Diethyl ketone,TWA 200 ppm (705 mg/m3)
133,Diethyl phthalate,TWA 5 mg/m3
134,Diglycidyl ether,TWA 0.1 ppm (0.5 mg/m3)
135,Diisobutyl ketone,TWA 25 ppm (150 mg/m3)
136,"N,N-Dimethylaniline","TWA 5 ppm (25 mg/m3), ST 10 ppm (50 mg/m3) [skin]"
137,"Dimethyl-1,2-dibromo-",TWA 3 mg/m3 [skin]
138,"2,2-dichlorethyl phosphat",e
139,Dimethyl sulfate,TWA 0.1 ppm (0.5 mg/m3) [skin]
140,Dinitolmide,TWA 5 mg/m3
141,Di-sec octyl phthalate,"TWA 5 mg/m3, ST 10 mg/m3"
142,Dioxane,TWA 25 ppm (90 mg/m3) [skin]
143,Dioxathion,TWA 0.2 mg/m3 [skin]
144,Diphenylamine,TWA 10 mg/m3A
145,Dipropylene glycol methy,l TWA 100 ppm (600 mg/m3)P
146,ether,ST 150 ppm (900 mg/m3) [skin]P
148,Dipropyl ketone,TWA 50 ppm (235 mg/m3)N
149,Diquat (Diquat dibromide),TWA 0.5 mg/m3D
151,Disulfiram,TWA 2 mg/m3X
153,Disulfoton,TWA 0.1 mg/m3 [skin]G
154,"2,6-Di-tert-butyl-p-cresol",TWA 10 mg/m3
155,Diuron,TWA 10 mg/m3
156,Divinyl benzene,TWA 10 ppm (50 mg/m3)
157,Emery,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
158,Endosulfan,TWA 0.1 mg/m3 [skin]
159,Epichlorohydrin,TWA 2 ppm (8 mg/m3) [skin]
160,Ethanolamine,"TWA 3 ppm (8 mg/m3), ST 6 ppm (15 mg/m3)"
161,Ethion,TWA 0.4 mg/m3 [skin]
162,Ethyl acrylate,"TWA 5 ppm (20 mg/m3), ST 25 ppm (100 mg/m3) [skin]"
163,Ethyl benzene,"TWA 100 ppm (435 mg/m3), ST 125 ppm (545 mg/m3)"
164,Ethyl bromide,"TWA 200 ppm (890 mg/m3), ST 250 ppm (1110 mg/m3)"
165,Ethylene chlorohydrin,C 1 ppm (3 mg/m3) [skin]
166,Ethylene dichloride,"TWA 1 ppm (4 mg/m3), ST 2 ppm (8 mg/m3)"
168,Ethylene glycol,C 50 ppm (125 mg/m3)
169,Ethylene glycol dinitrate,ST 0.1 mg/m3 [skin]
170,Ethyl ether,"TWA 400 ppm (1200 mg/m3), ST 500 ppm (1500 mg/m3)"
171,Ethylidene norbornene,C 5 ppm (25 mg/m3)
172,Ethyl mercaptan,TWA 0.5 ppm (1 mg/m3)
173,N-Ethylmorpholine,TWA 5 ppm (23 mg/m3) [skin]
174,Ethyl silicate,TWA 10 ppm (85 mg/m3)
175,Fenamiphos,TWA 0.1 mg/m3 [skin]
176,Fensulfothion,TWA 0.1 mg/m3
177,Fenthion,TWA 0.2 mg/m3 [skin]
178,Ferbam,TWA 10 mg/m3
179,Ferrovanadium dust,"TWA 1 mg/m3, ST 3 mg/m3"
180,Fluorotrichloromethane,C 1000 ppm (5600 mg/m3)
181,Fonofos,TWA 0.1 mg/m3 [skin]
182,Formamide,"TWA 20 ppm (30 mg/m3), ST 30 ppm (45 mg/m3)"
183,Furfural,TWA 2 ppm (8 mg/m3) [skin]
184,Furfuryl alcohol,"TWA 10 ppm (40 mg/m3), ST 15 ppm (60 mg/m3) [skin]"
185,Gasoline,"TWA 300 ppm (900 mg/m3), ST 500 ppm (1500mg/m3)"
186,Germanium tetrahydride,TWA 0.2 ppm (0.6 mg/m3)
187,Glutaraldehyde,C 0.2 ppm (0.8 mg/m3)
188,Glycerin (mist),"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
189,Glycidol,TWA 25 ppm (75 mg/m3)
190,Graphite (natural),TWA 2.5 mg/m3 (resp)
191,Graphite (synthetic),"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
192,n-Heptane,"TWA 400 ppm (1600 mg/m3), ST 500 ppm (2000 mg/m3)"
193,Hexachlorobutadiene,TWA 0.02 ppm (0.24 mg/m3)
194,Hexachlorocyclopentadiene,TWA 0.01 ppm (0.1 mg/m3)
195,Hexafluoroacetone,TWA 0.1 ppm (0.7 mg/m3) [skin]
196,n-Hexane,TWA 50 ppm (180 mg/m3)
197,Hexane isomers (except,"TWA 500 ppm (1800 mg/m3), ST 1000 ppm (3600 mg/m3)"
198,n-Hexane),
199,2-Hexanone,TWA 5 ppm (20 mg/m3)
200,Hexone,"TWA 50 ppm (205 mg/m3), ST 75 ppm (300 mg/m3)"
201,Hexylene glycol,C 25 ppm (125 mg/m3)
